CountyFIPS,DataCategory,DataType,HUC,Organization,OrganizationIdentifier,ReportIdentifier,ReportUnitIdentifier,ReportUnitName,State,WaDEURLAddress
49045,DETAIL,ALLOCATION,160203080501,,UTDWRT,2016,00-02-01,North GSL Desert,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203080502,,UTDWRT,2016,00-02-01,North GSL Desert,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203080601,,UTDWRT,2016,00-02-01,North GSL Desert,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203080602,,UTDWRT,2016,00-02-01,North GSL Desert,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203080604,,UTDWRT,2016,00-02-01,North GSL Desert,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203081301,,UTDWRT,2016,00-02-01,North GSL Desert,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203081302,,UTDWRT,2016,00-02-01,North GSL Desert,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203081303,,UTDWRT,2016,00-02-01,North GSL Desert,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203081304,,UTDWRT,2016,00-02-01,North GSL Desert,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203081601,,UTDWRT,2016,00-02-01,North GSL Desert,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203081803,,UTDWRT,2016,00-02-01,North GSL Desert,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203081804,,UTDWRT,2016,00-02-01,North GSL Desert,46,http://www.water.utah.gov/DWRT
49023,DETAIL,ALLOCATION,160203011403,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49023,DETAIL,ALLOCATION,160203011502,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49023,DETAIL,ALLOCATION,160203011503,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49023,DETAIL,ALLOCATION,160203011504,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49023,DETAIL,ALLOCATION,160203011505,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49023,DETAIL,ALLOCATION,160203060101,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49023,DETAIL,ALLOCATION,160203060103,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49023,DETAIL,ALLOCATION,160203060104,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49023,DETAIL,ALLOCATION,160203060105,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49023,DETAIL,ALLOCATION,160203060201,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49023,DETAIL,ALLOCATION,160203060202,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49023,DETAIL,ALLOCATION,160203060204,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49023,DETAIL,ALLOCATION,160203060301,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49023,DETAIL,ALLOCATION,160203060303,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
49023,DETAIL,ALLOCATION,160203060305,,UTDWRT,2016,00-02-02,South GSL Desert,46,http://www.water.utah.gov/DWRT
