CountyFIPS,DataCategory,DataType,HUC,OrganizationIdentifier,ReportIdentifier,ReportUnitIdentifier,ReportUnitName,State,WaDEURLAddress
16077,DETAIL,DIVERSION,170402060905,IDWR,2015,29,,56,http://www.westernstateswater.org/Idaho
16077,DETAIL,DIVERSION,170402061003,IDWR,2015,29,,56,http://www.westernstateswater.org/Idaho
16077,DETAIL,DIVERSION,170402061005,IDWR,2015,29,,56,http://www.westernstateswater.org/Idaho
16077,DETAIL,DIVERSION,170402061006,IDWR,2015,29,,56,http://www.westernstateswater.org/Idaho
16077,DETAIL,DIVERSION,170402061009,IDWR,2015,29,,56,http://www.westernstateswater.org/Idaho
16077,DETAIL,DIVERSION,170402080507,IDWR,2015,29,,56,http://www.westernstateswater.org/Idaho
16077,DETAIL,DIVERSION,170402080608,IDWR,2015,29,,56,http://www.westernstateswater.org/Idaho
16077,DETAIL,DIVERSION,170402090301,IDWR,2015,29,,56,http://www.westernstateswater.org/Idaho
16077,DETAIL,DIVERSION,170402090302,IDWR,2015,29,,56,http://www.westernstateswater.org/Idaho
16077,DETAIL,DIVERSION,170402090303,IDWR,2015,29,,56,http://www.westernstateswater.org/Idaho
16033,DETAIL,DIVERSION,170402140302,IDWR,2015,31,,56,http://www.westernstateswater.org/Idaho
16033,DETAIL,DIVERSION,170402140401,IDWR,2015,31,,56,http://www.westernstateswater.org/Idaho
16033,DETAIL,DIVERSION,170402140404,IDWR,2015,31,,56,http://www.westernstateswater.org/Idaho
16033,DETAIL,DIVERSION,170402140405,IDWR,2015,31,,56,http://www.westernstateswater.org/Idaho
16033,DETAIL,DIVERSION,170402140605,IDWR,2015,31,,56,http://www.westernstateswater.org/Idaho
16033,DETAIL,DIVERSION,170402140607,IDWR,2015,31,,56,http://www.westernstateswater.org/Idaho
16043,DETAIL,DIVERSION,170402140501,IDWR,2015,31,,56,http://www.westernstateswater.org/Idaho
16043,DETAIL,DIVERSION,170402140502,IDWR,2015,31,,56,http://www.westernstateswater.org/Idaho
16043,DETAIL,DIVERSION,170402140503,IDWR,2015,31,,56,http://www.westernstateswater.org/Idaho
16043,DETAIL,DIVERSION,170402140607,IDWR,2015,31,,56,http://www.westernstateswater.org/Idaho
16043,DETAIL,DIVERSION,170402140608,IDWR,2015,31,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,DIVERSION,170402010200,IDWR,2015,31,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,DIVERSION,170402010301,IDWR,2015,31,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,DIVERSION,170402140405,IDWR,2015,31,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,DIVERSION,170402140501,IDWR,2015,31,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,DIVERSION,170402140503,IDWR,2015,31,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,DIVERSION,170402140605,IDWR,2015,31,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,DIVERSION,170402140606,IDWR,2015,31,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,DIVERSION,170402140608,IDWR,2015,31,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,DIVERSION,170402140609,IDWR,2015,31,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,DIVERSION,170402140701,IDWR,2015,31,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,DIVERSION,170402140702,IDWR,2015,31,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,DIVERSION,170402140703,IDWR,2015,31,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,DIVERSION,170402140704,IDWR,2015,31,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,DIVERSION,170402150206,IDWR,2015,31,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,DIVERSION,170402150407,IDWR,2015,31,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,DIVERSION,170402150408,IDWR,2015,31,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,DIVERSION,170402150503,IDWR,2015,31,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,DIVERSION,170402150504,IDWR,2015,31,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,DIVERSION,170402150505,IDWR,2015,31,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,DIVERSION,170402150603,IDWR,2015,31,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,DIVERSION,170402150606,IDWR,2015,31,,56,http://www.westernstateswater.org/Idaho
16033,DETAIL,DIVERSION,170402150206,IDWR,2015,32,,56,http://www.westernstateswater.org/Idaho
16033,DETAIL,DIVERSION,170402150302,IDWR,2015,32,,56,http://www.westernstateswater.org/Idaho
16033,DETAIL,DIVERSION,170402150303,IDWR,2015,32,,56,http://www.westernstateswater.org/Idaho
16033,DETAIL,DIVERSION,170402150304,IDWR,2015,32,,56,http://www.westernstateswater.org/Idaho
16033,DETAIL,DIVERSION,170402150404,IDWR,2015,32,,56,http://www.westernstateswater.org/Idaho
16033,DETAIL,DIVERSION,170402150408,IDWR,2015,32,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,DIVERSION,170402150404,IDWR,2015,32,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,DIVERSION,170402150406,IDWR,2015,32,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,DIVERSION,170402150407,IDWR,2015,32,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,DIVERSION,170402150408,IDWR,2015,32,,56,http://www.westernstateswater.org/Idaho
