CountFIPS,DataCategory,DataType,Organization,OrganizationIdentifier,ReportIdentifier,ReportUnitIdentifier,ReportUnitName,State,WaDEURLAddress
35037,SUMMARY,USE,,NMOSE,1990,35037,Quay,35,http://www.westernstateswater.org/NewMexico
35037,SUMMARY,USE,,NMOSE,2000,35037,Quay,35,http://www.westernstateswater.org/NewMexico
35053,SUMMARY,USE,,NMOSE,1990,35053,Socorro,35,http://www.westernstateswater.org/NewMexico
35057,SUMMARY,USE,,NMOSE,2005,35057,Torrance,35,http://www.westernstateswater.org/NewMexico
,SUMMARY,USE,,NMOSE,1995,UC,Upper Colorado Region,35,http://www.westernstateswater.org/NewMexico
,SUMMARY,USE,,NMOSE,1995,RG,Rio Grande Region,35,http://www.westernstateswater.org/NewMexico
35055,SUMMARY,USE,,NMOSE,1995,35055,Taos,35,http://www.westernstateswater.org/NewMexico
35061,SUMMARY,USE,,NMOSE,1995,35061,Valencia,35,http://www.westernstateswater.org/NewMexico
,SUMMARY,USE,,NMOSE,1990,LC,Lower Colorado Region,35,http://www.westernstateswater.org/NewMexico
,SUMMARY,USE,,NMOSE,2000,LC,Lower Colorado Region,35,http://www.westernstateswater.org/NewMexico
35059,SUMMARY,USE,,NMOSE,1995,35059,Union,35,http://www.westernstateswater.org/NewMexico
35023,SUMMARY,USE,,NMOSE,2005,35023,Hidalgo,35,http://www.westernstateswater.org/NewMexico
35027,SUMMARY,USE,,NMOSE,2010,35027,Lincoln,35,http://www.westernstateswater.org/NewMexico
35003,SUMMARY,USE,,NMOSE,2010,35003,Catron,35,http://www.westernstateswater.org/NewMexico
35029,SUMMARY,USE,,NMOSE,2010,35029,Luna,35,http://www.westernstateswater.org/NewMexico
35025,SUMMARY,USE,,NMOSE,2005,35025,Lea,35,http://www.westernstateswater.org/NewMexico
35021,SUMMARY,USE,,NMOSE,1995,35021,Harding,35,http://www.westernstateswater.org/NewMexico
35028,SUMMARY,USE,,NMOSE,1990,35028,Los Alamos,35,http://www.westernstateswater.org/NewMexico
35028,SUMMARY,USE,,NMOSE,2000,35028,Los Alamos,35,http://www.westernstateswater.org/NewMexico
35033,SUMMARY,USE,,NMOSE,2010,35033,Mora,35,http://www.westernstateswater.org/NewMexico
35005,SUMMARY,USE,,NMOSE,1995,35005,Chaves,35,http://www.westernstateswater.org/NewMexico
35017,SUMMARY,USE,,NMOSE,1995,35017,Grant,35,http://www.westernstateswater.org/NewMexico
35051,SUMMARY,USE,,NMOSE,2005,35051,Sierra,35,http://www.westernstateswater.org/NewMexico
,SUMMARY,USE,,NMOSE,1990,RG,Rio Grande Region,35,http://www.westernstateswater.org/NewMexico
35031,SUMMARY,USE,,NMOSE,2010,35031,McKinley,35,http://www.westernstateswater.org/NewMexico
,SUMMARY,USE,,NMOSE,2000,RG,Rio Grande Region,35,http://www.westernstateswater.org/NewMexico
,SUMMARY,USE,,NMOSE,2000,UC,Upper Colorado Region,35,http://www.westernstateswater.org/NewMexico
,SUMMARY,USE,,NMOSE,1990,UC,Upper Colorado Region,35,http://www.westernstateswater.org/NewMexico
35041,SUMMARY,USE,,NMOSE,2010,35041,Roosevelt,35,http://www.westernstateswater.org/NewMexico
35061,SUMMARY,USE,,NMOSE,1990,35061,Valencia,35,http://www.westernstateswater.org/NewMexico
35061,SUMMARY,USE,,NMOSE,2000,35061,Valencia,35,http://www.westernstateswater.org/NewMexico
35049,SUMMARY,USE,,NMOSE,2005,35049,Santa Fe,35,http://www.westernstateswater.org/NewMexico
35055,SUMMARY,USE,,NMOSE,2000,35055,Taos,35,http://www.westernstateswater.org/NewMexico
35055,SUMMARY,USE,,NMOSE,1990,35055,Taos,35,http://www.westernstateswater.org/NewMexico
,SUMMARY,USE,,NMOSE,2010,P,Pecos Region,35,http://www.westernstateswater.org/NewMexico
35001,SUMMARY,USE,,NMOSE,2005,35001,Bernalillo,35,http://www.westernstateswater.org/NewMexico
,SUMMARY,USE,,NMOSE,1995,LC,Lower Colorado Region,35,http://www.westernstateswater.org/NewMexico
35059,SUMMARY,USE,,NMOSE,2000,35059,Union,35,http://www.westernstateswater.org/NewMexico
35059,SUMMARY,USE,,NMOSE,1990,35059,Union,35,http://www.westernstateswater.org/NewMexico
,SUMMARY,USE,,NMOSE,2005,TG,Texas-Gulf Region,35,http://www.westernstateswater.org/NewMexico
35009,SUMMARY,USE,,NMOSE,2005,35009,Curry,35,http://www.westernstateswater.org/NewMexico
35019,SUMMARY,USE,,NMOSE,2010,35019,Guadalupe,35,http://www.westernstateswater.org/NewMexico
