DataCategory,DataType,HUC,OrganizationIdentifier,ReportIdentifier,ReportUnitIdentifier,ReportUnitName,State,WaDEURLAddress
DETAIL,ALLOCATION,10140203,DENR,2009,10140203,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170201,DENR,2014,10170201,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170202,DENR,2014,10170202,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,07020001,DENR,2011,07020001,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120113,DENR,2012,10120113,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160003,DENR,2009,10160003,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120107,DENR,2015,10120107,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120107,DENR,2014,10120107,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10120111,DENR,2009,10120111,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10150003,DENR,2014,10150003,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170201,DENR,2015,10170201,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170202,DENR,2015,10170202,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10110201,DENR,2007,10110201,Upper Little Missouri,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,09020105,DENR,2014,09020105,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140103,DENR,2017,10140103,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130304,DENR,2013,10130304,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170103,DENR,2012,10170103,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,07020003,DENR,2012,07020003,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140103,DENR,2016,10140103,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10130306,DENR,2010,10130306,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10140103,DENR,2015,10140103,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10160007,DENR,2008,10160007,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170201,DENR,2017,10170201,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170202,DENR,2017,10170202,,45,http://www.westernstateswater.org/SouthDakota
DETAIL,ALLOCATION,10170201,DENR,2016,10170201,,45,http://www.westernstateswater.org/SouthDakota
